Date : 2025-07-13 18:50:07
Directory : c:\Users\mateu\Desktop\CommunityApp
Total : 118 files,  15315 codes, 52 comments, 1091 blanks, all 16458 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          5 |     10,434 |          4 |          8 |     10,446 |
| C#                 |         55 |      2,976 |         37 |        774 |      3,787 |
| TypeScript JSX     |         32 |      1,334 |          2 |        190 |      1,526 |
| TypeScript         |         15 |        394 |          9 |         77 |        480 |
| XML                |          6 |         73 |          0 |         26 |         99 |
| Markdown           |          1 |         58 |          0 |         12 |         70 |
| JavaScript         |          1 |         22 |          0 |          2 |         24 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| JSON with Comments |          1 |          7 |          0 |          1 |          8 |
| PostCSS            |          1 |          4 |          0 |          0 |          4 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |        118 |     15,315 |         52 |      1,091 |     16,458 |
| Reactivity                                                                                                            |        117 |     12,171 |         52 |      1,091 |     13,314 |
| Reactivity\API                                                                                                        |         11 |        385 |          7 |        106 |        498 |
| Reactivity\API (Files)                                                                                                |          3 |        100 |          5 |         25 |        130 |
| Reactivity\API\Controllers                                                                                            |          6 |        208 |          2 |         54 |        264 |
| Reactivity\API\DTOs                                                                                                   |          1 |         14 |          0 |          2 |         16 |
| Reactivity\API\Middleware                                                                                             |          1 |         63 |          0 |         25 |         88 |
| Reactivity\Application                                                                                                |         27 |        720 |          4 |        165 |        889 |
| Reactivity\Application (Files)                                                                                        |          1 |         19 |          0 |          6 |         25 |
| Reactivity\Application\Activities                                                                                     |         13 |        373 |          4 |         86 |        463 |
| Reactivity\Application\Activities\Commands                                                                            |          4 |        160 |          1 |         39 |        200 |
| Reactivity\Application\Activities\DTOs                                                                                |          4 |         69 |          3 |         21 |         93 |
| Reactivity\Application\Activities\Queries                                                                             |          2 |         62 |          0 |         12 |         74 |
| Reactivity\Application\Activities\Validators                                                                          |          3 |         82 |          0 |         14 |         96 |
| Reactivity\Application\Core                                                                                           |          4 |         93 |          0 |         18 |        111 |
| Reactivity\Application\Interfaces                                                                                     |          2 |         30 |          0 |          6 |         36 |
| Reactivity\Application\Profiles                                                                                       |          7 |        205 |          0 |         49 |        254 |
| Reactivity\Application\Profiles\Commands                                                                              |          3 |        111 |          0 |         36 |        147 |
| Reactivity\Application\Profiles\DTOs                                                                                  |          2 |         28 |          0 |          5 |         33 |
